Channel              :		CH1
Frequency            :		50.76Hz
Period               :		19.70ms
PK-PK                :		33.34mV
Average              :		-0.032mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		10.00000uS

index		CH1_Voltage(mV)
1		1.687500
2		2.150000
3		2.387500
4		2.625000
5		2.800000
6		2.500000
7		3.675000
8		3.737500
9		3.975000
10		3.500000
11		3.737500
12		3.500000
13		3.150000
14		3.037500
15		3.500000
16		3.212500
17		3.562500
18		2.562500
19		2.675000
20		2.562500
21		2.037500
22		1.687500
23		1.450000
24		1.275000
25		0.150000
26		-0.025000
27		0.212500
28		-0.675000
29		-1.200000
30		-0.375000
31		-1.087500
32		-2.137500
33		-2.437500
34		-1.900000
35		-2.137500
36		-1.962500
37		-1.087500
38		-0.137500
39		1.500000
40		1.087500
41		2.562500
42		2.912500
43		3.625000
44		4.800000
45		4.912500
46		5.625000
47		6.087500
48		6.387500
49		6.500000
50		6.737500
51		7.325000
52		7.675000
53		7.562500
54		7.325000
55		7.437500
56		8.800000
57		7.800000
58		8.025001
59		8.500000
60		7.562500
61		7.387500
62		6.737500
63		6.912500
64		6.387500
65		5.325000
66		4.800000
67		4.912500
68		4.212500
69		3.212500
70		3.387500
71		4.150000
72		3.625000
73		3.562500
74		3.975000
75		4.087500
76		4.625000
77		4.912500
78		5.800000
79		6.437500
80		7.325000
81		6.500000
82		6.975000
83		7.262500
84		6.562500
85		6.562500
86		6.037500
87		6.150000
88		5.212500
89		5.387500
90		4.500000
91		4.625000
92		4.087500
93		3.500000
94		2.737500
95		2.450000
96		2.500000
97		1.450000
98		0.562500
99		0.500000
100		0.687500
101		0.212500
102		-0.025000
103		-1.612500
104		-0.900000
105		-0.787500
106		0.275000
107		0.562500
108		0.562500
109		1.737500
110		2.737500
111		3.975000
112		4.800000
113		5.087500
114		5.850000
115		6.975000
116		7.437500
117		8.912500
118		8.150001
119		8.975000
120		9.437500
121		8.737500
122		9.025001
123		8.737500
124		8.850000
125		7.562500
126		8.212501
127		7.437500
128		6.737500
129		6.212500
130		6.037500
131		5.387500
132		4.850000
133		4.387500
134		4.500000
135		4.150000
136		3.500000
137		4.212500
138		4.037500
139		4.500000
140		3.675000
141		4.387500
142		4.150000
143		4.675000
144		4.625000
145		5.387500
146		5.625000
147		6.150000
148		6.437500
149		6.437500
150		6.625000
151		7.150000
152		7.912500
153		7.625000
154		7.562500
155		7.912500
156		6.850000
157		8.325000
158		5.912500
159		5.975000
160		5.087500
161		5.562500
162		4.500000
163		5.087500
164		4.387500
165		4.500000
166		3.737500
167		4.325000
168		3.275000
169		4.150000
170		4.150000
171		3.975000
172		4.625000
173		4.500000
174		4.150000
175		5.037500
176		5.387500
177		6.262500
178		6.087500
179		6.737500
180		7.437500
181		7.800000
182		8.087501
183		8.737500
184		9.025001
185		9.150001
186		9.387500
187		9.437500
188		9.087501
189		10.200000
190		9.387500
191		9.850000
192		9.500000
193		9.387500
194		8.612500
195		8.675000
196		7.562500
197		7.850000
198		7.037500
199		7.037500
200		6.800000
201		6.675000
202		6.087500
203		5.975000
204		5.737500
205		5.500000
206		5.212500
207		4.800000
208		4.625000
209		4.325000
210		4.037500
211		3.975000
212		3.150000
213		4.850000
214		4.212500
215		3.912500
216		4.562500
217		4.912500
218		4.675000
219		5.087500
220		5.500000
221		5.625000
222		5.500000
223		5.562500
224		4.500000
225		5.675000
226		5.262500
227		5.262500
228		5.037500
229		4.500000
230		3.087500
231		4.150000
232		3.737500
233		3.912500
234		4.387500
235		4.387500
236		3.737500
237		4.737500
238		4.800000
239		5.212500
240		5.850000
241		5.562500
242		6.262500
243		6.850000
244		6.737500
245		7.800000
246		7.737500
247		7.850000
248		8.437500
249		8.737500
250		8.975000
251		9.025001
252		9.912500
253		10.975000
254		10.200000
255		10.912500
256		10.612500
257		11.150001
258		10.150001
259		9.975000
260		10.800000
261		10.612500
262		10.562500
263		10.325000
264		9.675000
265		10.150001
266		9.975000
267		9.912500
268		9.262500
269		8.912500
270		9.437500
271		8.437500
272		8.800000
273		8.212501
274		8.912500
275		7.562500
276		7.912500
277		7.850000
278		8.025001
279		7.562500
280		7.212500
281		7.387500
282		7.437500
283		7.500000
284		7.262500
285		7.800000
286		7.437500
287		7.737500
288		7.675000
289		7.975000
290		7.675000
291		7.737500
292		8.150001
293		8.850000
294		8.975000
295		8.737500
296		9.262500
297		8.975000
298		9.025001
299		9.850000
300		9.325000
301		10.200000
302		9.975000
303		9.500000
304		9.675000
305		10.387500
306		10.087501
307		9.500000
308		9.675000
309		10.025001
310		9.025001
311		9.437500
312		9.325000
313		9.800000
314		9.500000
315		9.325000
316		8.912500
317		9.562500
318		9.850000
319		9.387500
320		9.087501
321		9.087501
322		9.912500
323		9.087501
324		8.912500
325		8.675000
326		9.025001
327		8.150001
328		7.675000
329		7.325000
330		7.325000
331		6.737500
332		6.150000
333		7.150000
334		5.850000
335		5.912500
336		5.675000
337		6.037500
338		5.212500
339		5.500000
340		4.325000
341		5.037500
342		6.087500
343		5.562500
344		5.387500
345		5.262500
346		5.500000
347		6.262500
348		6.150000
349		7.037500
350		7.150000
351		6.675000
352		7.325000
353		7.325000
354		7.150000
355		7.737500
356		7.500000
357		7.912500
358		8.087501
359		7.850000
360		7.037500
361		7.675000
362		8.150001
363		7.437500
364		6.150000
365		7.037500
366		6.625000
367		5.625000
368		6.037500
369		6.262500
370		5.675000
371		5.562500
372		5.562500
373		6.262500
374		6.387500
375		6.437500
376		7.150000
377		7.262500
378		7.150000
379		7.850000
380		8.437500
381		9.150001
382		9.675000
383		9.612500
384		9.675000
385		9.912500
386		9.262500
387		9.912500
388		9.612500
389		9.975000
390		9.562500
391		9.437500
392		9.500000
393		9.325000
394		9.212501
395		9.025001
396		9.212501
397		9.025001
398		8.387500
399		8.500000
400		9.387500
401		9.325000
402		9.675000
403		9.325000
404		9.087501
405		9.150001
406		9.025001
407		9.325000
408		8.737500
409		8.737500
410		7.437500
411		7.675000
412		7.150000
413		6.262500
414		5.800000
415		6.912500
416		6.037500
417		6.150000
418		7.150000
419		7.675000
420		7.975000
421		7.912500
422		8.262500
423		8.800000
424		8.387500
425		7.212500
426		7.037500
427		5.850000
428		5.800000
429		5.800000
430		5.675000
431		6.150000
432		5.850000
433		5.850000
434		5.975000
435		7.150000
436		7.150000
437		6.737500
438		5.387500
439		5.675000
440		4.562500
441		3.037500
442		1.687500
443		0.562500
444		0.500000
445		-1.487500
446		-1.787500
447		-2.675000
448		-3.487500
449		-3.725000
450		-3.662500
451		-4.075000
452		-4.137500
453		-4.550000
454		-4.250000
455		-4.612500
456		-5.250000
457		-5.312500
458		-5.487500
459		-5.725000
460		-6.200000
461		-6.437500
462		-6.250000
463		-4.962500
464		-4.662500
465		-2.437500
466		-1.550000
467		1.450000
468		3.150000
469		5.212500
470		7.562500
471		9.325000
472		9.675000
473		10.850000
474		11.612500
475		11.737500
476		12.787500
477		12.150001
478		12.437500
479		11.975000
480		11.387500
481		10.850000
482		10.562500
483		11.387500
484		10.562500
485		11.675000
486		11.387500
487		12.562500
488		11.612500
489		11.675000
490		11.387500
491		9.975000
492		8.975000
493		7.850000
494		5.675000
495		4.325000
496		3.037500
497		2.150000
498		1.212500
499		0.687500
500		0.150000
501		-0.200000
502		0.450000
503		0.100000
504		0.212500
505		-0.312500
506		-0.200000
507		-0.262500
508		-0.900000
509		-1.262500
510		-2.200000
511		-2.725000
512		-3.437500
513		-3.900000
514		-4.025000
515		-4.025000
516		-4.025000
517		-3.487500
518		-3.375000
519		-2.725000
520		-1.550000
521		-1.262500
522		-0.025000
523		0.500000
524		0.862500
525		1.275000
526		1.562500
527		1.387500
528		1.625000
529		2.037500
530		1.150000
531		1.562500
532		1.387500
533		1.562500
534		1.087500
535		1.500000
536		1.087500
537		0.687500
538		0.500000
539		-0.087500
540		-0.025000
541		-0.612500
542		-0.675000
543		-0.675000
544		-1.200000
545		-1.375000
546		-1.200000
547		-1.375000
548		-0.900000
549		-0.725000
550		-0.725000
551		0.100000
552		0.100000
553		-0.725000
554		-0.612500
555		-0.612500
556		-0.087500
557		-0.262500
558		-0.850000
559		-0.487500
560		-0.437500
561		-0.375000
562		-0.375000
563		-0.375000
564		-0.962500
565		-0.612500
566		-1.550000
567		-1.850000
568		-2.437500
569		-2.437500
570		-3.075000
571		-3.137500
572		-3.137500
573		-2.962500
574		-3.550000
575		-3.312500
576		-2.900000
577		-2.675000
578		-1.850000
579		-2.137500
580		-2.075000
581		-1.725000
582		-1.962500
583		-2.137500
584		-2.025000
585		-1.962500
586		-2.312500
587		-2.437500
588		-2.675000
589		-2.675000
590		-2.787500
591		-2.675000
592		-3.025000
593		-3.312500
594		-3.075000
595		-3.900000
596		-3.200000
597		-3.200000
598		-3.025000
599		-2.787500
600		-2.675000
601		-1.962500
602		-2.375000
603		-2.137500
604		-2.025000
605		-1.725000
606		-1.437500
607		-1.550000
608		-1.675000
609		-1.612500
610		-2.262500
611		-2.675000
612		-2.137500
613		-2.025000
614		-2.312500
615		-3.025000
616		-3.375000
617		-3.612500
618		-3.900000
619		-4.375000
620		-5.200000
621		-5.025000
622		-5.837500
623		-6.250000
624		-6.437500
625		-6.075000
626		-5.900000
627		-6.662500
628		-6.375000
629		-5.725000
630		-5.375000
631		-5.787500
632		-4.850000
633		-4.900000
634		-4.662500
635		-4.025000
636		-4.137500
637		-3.787500
638		-3.612500
639		-3.850000
640		-3.550000
641		-3.612500
642		-3.612500
643		-3.612500
644		-3.025000
645		-3.200000
646		-2.725000
647		-2.725000
648		-2.850000
649		-2.725000
650		-3.137500
651		-2.437500
652		-3.075000
653		-3.137500
654		-3.612500
655		-3.787500
656		-4.137500
657		-3.437500
658		-3.200000
659		-2.675000
660		-3.075000
661		-3.262500
662		-2.437500
663		-3.262500
664		-3.375000
665		-3.437500
666		-3.612500
667		-4.550000
668		-5.375000
669		-5.612500
670		-6.200000
671		-6.837500
672		-8.075000
673		-8.250000
674		-8.724999
675		-8.250000
676		-9.012500
677		-8.900000
678		-8.724999
679		-8.425000
680		-8.962500
681		-8.612500
