Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		58.39mV
Average              :		-0.192mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		4.00000uS

index		CH1_Voltage(mV)
1		-12.662499
2		-12.250000
3		-12.312500
4		-11.837500
5		-11.775000
6		-12.075000
7		-11.487500
8		-11.900000
9		-11.250000
10		-11.425000
11		-11.187500
12		-10.724999
13		-11.250000
14		-10.724999
15		-11.250000
16		-11.312500
17		-10.900000
18		-11.012500
19		-10.787499
20		-11.487500
21		-11.662499
22		-11.137500
23		-11.487500
24		-11.075000
25		-12.137500
26		-11.837500
27		-12.012500
28		-12.550000
29		-12.375000
30		-13.075000
31		-12.550000
32		-12.425000
33		-13.312500
34		-12.724999
35		-12.724999
36		-13.425000
37		-13.075000
38		-14.012500
39		-13.075000
40		-13.662499
41		-13.250000
42		-12.900000
43		-13.724999
44		-13.250000
45		-13.187500
46		-13.550000
47		-13.012500
48		-13.425000
49		-13.137500
50		-13.250000
51		-12.962500
52		-12.724999
53		-12.900000
54		-12.375000
55		-12.250000
56		-13.012500
57		-12.425000
58		-12.250000
59		-12.075000
60		-12.250000
61		-12.375000
62		-11.375000
63		-11.775000
64		-11.775000
65		-11.900000
66		-11.837500
67		-11.550000
68		-11.900000
69		-11.250000
70		-11.837500
71		-11.550000
72		-11.487500
73		-11.662499
74		-11.250000
75		-11.375000
76		-10.900000
77		-11.775000
78		-11.550000
79		-11.487500
80		-11.550000
81		-11.250000
82		-11.187500
83		-11.075000
84		-10.787499
85		-11.187500
86		-11.075000
87		-11.187500
88		-11.662499
89		-10.900000
90		-11.487500
91		-10.724999
92		-10.962500
93		-11.250000
94		-10.487500
95		-10.900000
96		-11.487500
97		-10.662499
98		-11.250000
99		-11.187500
100		-10.599999
101		-10.662499
102		-10.550000
103		-10.962500
104		-10.425000
105		-11.187500
106		-10.900000
107		-11.075000
108		-11.487500
109		-10.900000
110		-11.487500
111		-10.962500
112		-11.425000
113		-11.312500
114		-11.425000
115		-11.550000
116		-10.900000
117		-11.775000
118		-11.137500
119		-11.599999
120		-12.075000
121		-11.250000
122		-11.662499
123		-11.425000
124		-11.599999
125		-11.012500
126		-11.487500
127		-11.187500
128		-11.075000
129		-11.487500
130		-11.187500
131		-11.012500
132		-10.312500
133		-10.200000
134		-10.550000
135		-9.962500
136		-10.599999
137		-10.312500
138		-9.724999
139		-10.787499
140		-9.787499
141		-9.599999
142		-9.487500
143		-9.724999
144		-9.724999
145		-9.312500
146		-9.724999
147		-9.550000
148		-9.375000
149		-9.724999
150		-9.012500
151		-9.312500
152		-8.425000
153		-8.837500
154		-9.724999
155		-9.137500
156		-10.075000
157		-9.425000
158		-9.900000
159		-10.200000
160		-9.787499
161		-10.662499
162		-9.837500
163		-10.075000
164		-10.425000
165		-9.900000
166		-10.662499
167		-10.550000
168		-11.312500
169		-10.787499
170		-10.962500
171		-11.425000
172		-10.375000
173		-10.962500
174		-10.900000
175		-10.599999
176		-11.012500
177		-10.075000
178		-10.900000
179		-10.200000
180		-10.550000
181		-10.425000
182		-10.200000
183		-10.200000
184		-9.599999
185		-10.312500
186		-9.724999
187		-10.012500
188		-9.900000
189		-9.137500
190		-10.137500
191		-8.662499
192		-9.200000
193		-8.837500
194		-9.012500
195		-8.837500
196		-8.375000
197		-9.250000
198		-8.612500
199		-8.724999
200		-8.724999
201		-8.312500
202		-8.900000
203		-8.550000
204		-8.837500
205		-9.137500
206		-9.375000
207		-9.837500
208		-9.137500
209		-9.787499
210		-10.075000
211		-10.137500
212		-10.662499
213		-10.599999
214		-10.200000
215		-10.787499
216		-10.962500
217		-10.962500
218		-11.662499
219		-10.962500
220		-12.137500
221		-11.962500
222		-12.137500
223		-11.837500
224		-11.900000
225		-11.962500
226		-11.837500
227		-12.012500
228		-12.375000
229		-11.837500
230		-12.250000
231		-11.487500
232		-12.250000
233		-11.662499
234		-11.550000
235		-11.775000
236		-11.250000
237		-11.599999
238		-10.900000
239		-11.312500
240		-10.900000
241		-10.599999
242		-10.900000
243		-10.425000
244		-10.662499
245		-10.137500
246		-10.012500
247		-9.900000
248		-9.599999
249		-10.200000
250		-9.787499
251		-9.837500
252		-9.787499
253		-9.724999
254		-9.900000
255		-9.075000
256		-9.900000
257		-9.724999
258		-9.787499
259		-10.250000
260		-10.012500
261		-10.724999
262		-10.012500
263		-10.724999
264		-10.425000
265		-10.075000
266		-10.599999
267		-10.550000
268		-11.187500
269		-10.900000
270		-10.962500
271		-11.187500
272		-11.137500
273		-11.775000
274		-10.787499
275		-11.599999
276		-11.837500
277		-11.599999
278		-11.837500
279		-11.662499
280		-11.775000
281		-12.137500
282		-11.662499
283		-11.487500
284		-11.775000
285		-11.075000
286		-11.962500
287		-11.550000
288		-11.724999
289		-11.662499
290		-11.487500
291		-11.550000
292		-11.187500
293		-11.137500
294		-11.187500
295		-11.724999
296		-11.075000
297		-11.550000
298		-11.012500
299		-11.012500
300		-10.662499
301		-10.787499
302		-10.900000
303		-10.962500
304		-10.200000
305		-10.662499
306		-10.724999
307		-9.962500
308		-10.137500
309		-10.012500
310		-10.137500
311		-10.375000
312		-9.900000
313		-10.375000
314		-9.724999
315		-9.900000
316		-10.012500
317		-9.487500
318		-9.550000
319		-9.250000
320		-8.787499
321		-9.425000
322		-8.837500
323		-8.837500
324		-9.012500
325		-8.137500
326		-8.612500
327		-8.250000
328		-7.837500
329		-8.375000
330		-7.837500
331		-7.787500
332		-7.962500
333		-7.250000
334		-8.012500
335		-8.250000
336		-7.612500
337		-7.550000
338		-8.137500
339		-7.487500
340		-8.075000
341		-7.725000
342		-7.662500
343		-8.250000
344		-8.137500
345		-8.787499
346		-8.724999
347		-8.375000
348		-8.787499
349		-8.550000
350		-8.662499
351		-9.787499
352		-8.962500
353		-9.787499
354		-9.787499
355		-9.137500
356		-10.375000
357		-9.137500
358		-9.200000
359		-9.550000
360		-9.487500
361		-9.250000
362		-9.075000
363		-8.250000
364		-8.662499
365		-7.725000
366		-7.425000
367		-6.962500
368		-6.250000
369		-6.137500
370		-5.487500
371		-5.612500
372		-5.025000
373		-4.612500
374		-4.787500
375		-3.900000
376		-3.962500
377		-3.850000
378		-3.550000
379		-4.200000
380		-3.900000
381		-3.612500
382		-4.550000
383		-4.200000
384		-4.487500
385		-4.787500
386		-5.075000
387		-5.837500
388		-6.200000
389		-5.787500
390		-7.075000
391		-6.725000
392		-7.787500
393		-8.250000
394		-7.550000
395		-8.312500
396		-8.375000
397		-9.075000
398		-9.487500
399		-9.312500
400		-9.375000
401		-9.550000
402		-9.425000
403		-9.425000
404		-9.250000
405		-9.312500
406		-9.137500
407		-8.837500
408		-9.137500
409		-9.200000
410		-8.787499
411		-9.487500
412		-9.137500
413		-9.012500
414		-9.375000
415		-9.012500
416		-9.787499
417		-9.599999
418		-10.075000
419		-10.787499
420		-10.662499
421		-11.250000
422		-11.662499
423		-11.724999
424		-12.375000
425		-12.550000
426		-12.137500
427		-13.312500
428		-13.775000
429		-14.487500
430		-14.425000
431		-14.662499
432		-14.900000
433		-15.075000
434		-16.187500
435		-15.900000
436		-16.075001
437		-16.725000
438		-15.837500
439		-16.312500
440		-16.487499
441		-16.187500
442		-16.537500
443		-16.137501
444		-16.424999
445		-15.599999
446		-15.837500
447		-15.775000
448		-14.724999
449		-15.487500
450		-14.724999
451		-13.900000
452		-14.187500
453		-13.487500
454		-13.312500
455		-13.137500
456		-12.375000
457		-12.250000
458		-11.775000
459		-11.075000
460		-11.962500
461		-11.187500
462		-10.599999
463		-10.425000
464		-10.724999
465		-9.599999
466		-10.012500
467		-9.962500
468		-9.375000
469		-10.012500
470		-9.837500
471		-10.075000
472		-10.487500
473		-10.312500
474		-10.425000
475		-10.962500
476		-10.375000
477		-11.187500
478		-11.900000
479		-11.187500
480		-11.900000
481		-12.075000
482		-12.312500
483		-13.250000
484		-12.550000
485		-13.250000
486		-12.837500
487		-13.487500
488		-13.312500
489		-12.662499
490		-13.312500
491		-12.425000
492		-12.137500
493		-12.250000
494		-11.724999
495		-10.900000
496		-10.250000
497		-9.724999
498		-9.487500
499		-7.662500
500		-7.725000
501		-6.787500
502		-5.962500
503		-5.612500
504		-4.137500
505		-4.137500
506		-3.137500
507		-2.075000
508		-2.312500
509		-0.487500
510		-1.087500
511		-0.675000
512		-0.550000
513		-0.487500
514		-0.375000
515		-0.725000
516		-0.437500
517		-0.487500
518		-0.787500
519		-1.087500
520		-2.137500
521		-2.137500
522		-3.200000
523		-3.262500
524		-4.487500
525		-5.137500
526		-5.487500
527		-6.550000
528		-6.962500
529		-7.662500
530		-8.724999
531		-8.312500
532		-9.312500
533		-9.900000
534		-10.487500
535		-10.662499
536		-10.425000
537		-10.900000
538		-10.662499
539		-10.662499
540		-10.375000
541		-10.312500
542		-10.787499
543		-10.375000
544		-10.787499
545		-9.900000
546		-9.662499
547		-9.724999
548		-8.724999
549		-9.137500
550		-8.250000
551		-7.962500
552		-8.312500
553		-7.612500
554		-7.137500
555		-7.137500
556		-6.612500
557		-6.075000
558		-6.375000
559		-5.662500
560		-6.375000
561		-5.312500
562		-5.787500
563		-5.612500
564		-5.662500
565		-6.250000
566		-5.662500
567		-5.787500
568		-6.250000
569		-5.837500
